#Frequency (Hz),Trace 1 (dBV),Phase (deg)
0,-45.47687345503264,180
0.244140625,-45.76919552568015,0.1134212396424912
0.48828125,-49.37627477387078,0.5033093380089957
0.732421875,-60.62516391699329,6.726117370602439
0.9765625,-73.58243298552649,92.93361482637221
1.220703125,-70.68313460311568,98.54056822822223
1.46484375,-70.10648633593293,98.8738007024574
1.708984375,-71.63217108782118,101.8492408376447
1.953125,-72.67294613163914,109.1776486960723
2.197265625,-73.0500195498164,122.2255921693764
2.44140625,-72.64220456881611,130.9364213762967
2.685546875,-70.95117441212595,133.2624140323972
2.9296875,-70.47147416706002,132.7863364651775
3.173828125,-71.75755477179979,137.584221349893
3.41796875,-75.43943077856133,172.5962935005994
3.662109375,-78.27090009224774,68.13162406389941
3.90625,-75.80288248808478,131.7018176066739
4.150390625,-74.15525510592738,165.0378757262479
4.39453125,-73.15820166605768,27.38882848976824
4.638671875,-70.06276231034896,63.40644449705014
4.8828125,-67.2810129029514,91.14019084266985
5.126953125,-65.80434422729607,111.7610889505993
5.37109375,-69.07187838059481,107.6152745743467
5.615234375,-69.92330428994988,36.28091819458141
5.859375,-63.47128532973247,6.238388063840175
6.103515625,-59.79542756591439,175.2862059643394
6.34765625,-58.92812204881108,172.3434193077368
6.591796875,-60.53462922996459,173.440861410151
6.8359375,-64.72782474524762,172.3755838341504
7.080078125,-72.02338374599393,141.0814943722513
7.32421875,-72.74976881401679,118.8740079048021
7.568359375,-72.93069628747459,162.7157415293069
7.8125,-70.85078699355705,22.28821947369603
8.056640625,-67.67383826155459,39.93921984304985
8.30078125,-64.06315669724287,53.48358391511632
8.544921875,-59.53191672613019,72.39441667237294
8.7890625,-57.53573620348234,82.78485733372308
9.033203125,-59.38678778391137,84.23320494525592
9.27734375,-61.01442439880159,87.94774373558162
9.521484375,-65.04312491058977,112.7729379912494
9.765625,-67.82304335326066,55.08280187949121
10.009765625,-60.78209770217235,92.7207484565545
10.25390625,-59.03906874113013,103.1669329325767
10.498046875,-58.54351377326418,119.2921965128359
10.7421875,-59.29045945321113,146.4198646311251
10.986328125,-63.53826573637374,33.83740538921476
11.23046875,-55.10762564856687,103.1766617017818
11.474609375,-50.62829883731784,114.0139026123615
11.71875,-50.20379413054935,126.8675525801667
11.962890625,-51.9449379241772,144.5525371849702
12.20703125,-55.41646047699505,156.3023769433842
12.451171875,-57.1424903057241,157.6152877973735
12.6953125,-56.11921277884026,124.0307500767254
12.939453125,-51.61156463158431,102.0434257095012
13.18359375,-49.02734105674974,106.1116887172614
13.427734375,-49.1898603690788,104.7420586952133
13.671875,-51.84242074858004,93.41080044375215
13.916015625,-55.90335673986993,65.6390960009239
14.16015625,-55.6114366942121,27.04497414458598
14.404296875,-54.91175855359384,13.42224839704626
14.6484375,-56.25370940835155,172.9891563768836
14.892578125,-58.41560725270537,163.778824883509
15.13671875,-60.6225385669311,31.01513609138164
15.380859375,-56.13948859522509,51.54345010235416
15.625,-52.65260842168711,50.34053753438334
15.869140625,-50.91295181213876,54.7296688605593
16.11328125,-52.04993337006574,65.2153955379741
16.357421875,-55.44541499461822,99.39613572161437
16.6015625,-54.67101805962625,146.2937802247899
16.845703125,-53.91438156237086,169.4614764053399
17.08984375,-55.46579199456865,13.14203993213313
17.333984375,-57.59262448334765,46.6434468087627
17.578125,-57.97293768227169,100.0864908858281
17.822265625,-56.31499815304275,131.5501703821401
18.06640625,-60.36634389956527,142.9788913474824
18.310546875,-68.15068880104896,48.15947973289315
18.5546875,-62.31139508979749,102.912020655733
18.798828125,-61.54156025472237,114.4516146864101
19.04296875,-62.1558262588768,79.72259299067738
19.287109375,-60.19490018627903,25.76198980815851
19.53125,-55.43749425474636,4.27963918790306
19.775390625,-52.46756890490914,3.953513894772525
20.01953125,-52.74991168285128,3.188391916757208
20.263671875,-56.47402371826828,1.285591001812229
20.5078125,-65.54207165757927,171.9254195915644
20.751953125,-65.92640643472063,26.21378637061279
20.99609375,-56.34225126352634,7.923942749881173
21.240234375,-53.04804023198034,179.5093585642102
21.484375,-52.55207659136207,0.06327611679282666
21.728515625,-52.40225558767932,9.193369720827226
21.97265625,-52.93587039999396,24.76150527498424
22.216796875,-54.75095638063757,54.04424582361376
22.4609375,-57.222928653286,95.41271103891792
22.705078125,-58.2179822148213,153.0210320428356
22.94921875,-54.8071799700212,16.80739268390795
23.193359375,-52.84435373298982,37.75415611459192
23.4375,-55.03556017272756,55.1467354808775
23.681640625,-61.96052932946433,83.03913668342156
23.92578125,-66.47564842845134,178.4848181051752
24.169921875,-61.13629885694398,40.62130738348458
24.4140625,-63.45980163682164,63.59783278805696
24.658203125,-71.26351257452943,148.1457067623797
24.90234375,-63.92202426299252,18.61773878622119
25.146484375,-60.23227404654074,27.97856191686195
25.390625,-59.42228750007661,36.88199351472679
25.634765625,-61.73549430523263,35.25658653107843
25.87890625,-66.78511110605638,12.39783967847236
26.123046875,-76.2792276604814,113.9049228521398
26.3671875,-66.4023395591624,40.91760303407399
26.611328125,-59.23491570783557,16.43812709674209
26.85546875,-52.93927611746025,173.2741289076369
27.099609375,-50.1405577190199,165.1818612894181
27.34375,-49.92340506922811,162.4546430260129
27.587890625,-50.2228050303663,159.7741510736473
27.83203125,-52.94628512824411,162.9946192620103
28.076171875,-58.67797766686407,11.10599325817784
28.3203125,-56.95919080375477,50.42278683421861
28.564453125,-54.09981704641103,61.82684886970721
28.80859375,-53.07435671352778,67.19229661566062
29.052734375,-52.84136684372244,66.10769344064332
29.296875,-54.96525497953733,69.4143972382285
29.541015625,-62.05510730304171,83.35318907792637
29.78515625,-71.22151982615348,171.7843708743125
30.029296875,-62.6115710964682,38.72522260443743
30.2734375,-57.46497782337662,55.41657085964369
30.517578125,-55.72774202984882,72.10445955121675
30.76171875,-55.88903553557753,101.6717835523804
31.005859375,-55.33770274496013,129.3769052000573
31.25,-55.60642709585464,147.3212766387195
31.494140625,-56.22854626285371,163.8350977475312
31.73828125,-57.9080588766026,4.216276472122507
31.982421875,-59.30609739173984,37.10523434851522
32.2265625,-58.87548176723173,64.36287875305482
32.470703125,-58.66409473782645,78.48635610149115
32.71484375,-58.72194998221389,87.78364570196987
32.958984375,-59.78390625724293,105.705204596212
33.203125,-63.07374720043504,152.9172844850983
33.447265625,-60.42048410150866,34.59250120357215
33.69140625,-58.1186580047702,50.96161073633023
33.935546875,-59.84792709554638,57.93797328167965
34.1796875,-65.16035581590822,75.2759754818435
34.423828125,-67.8939294236171,179.0386239888156
34.66796875,-57.48530188397655,21.09390479725344
34.912109375,-54.06175281464226,13.83463875522156
35.15625,-53.41917614171325,4.786488994292972
35.400390625,-53.56366876940587,173.0488775699533
35.64453125,-53.60025639872089,159.9094181283434
35.888671875,-54.55614917899814,145.6458905602554
36.1328125,-57.20954470797991,125.4172396242254
36.376953125,-60.54923959704686,104.3689471768795
36.62109375,-64.04690379154276,80.19055263735737
36.865234375,-66.55368217985142,172.4198453740589
37.109375,-63.07475557062455,136.4350607124412
37.353515625,-71.73134976476109,153.7794883348291
37.59765625,-75.51609838587693,52.5981442743935
37.841796875,-75.64691746029909,51.69403015292516
38.0859375,-69.74512216592859,43.721635466229
38.330078125,-69.91744459387478,38.64259369036765
38.57421875,-90.9705869193556,43.3023652736093
38.818359375,-70.85620854198177,18.96926147137723
39.0625,-70.39322428544646,158.7086791336829
39.306640625,-70.97245766334476,115.1044160506895
39.55078125,-68.3181985839355,126.8113761619997
39.794921875,-54.41046862037803,117.3254949572375
40.0390625,-49.73976503004717,113.5756333671693
40.283203125,-48.24628303144772,110.585651104545
40.52734375,-48.23331048077164,110.5084761034921
40.771484375,-50.26248816056765,116.9569690840271
41.015625,-54.96228415054472,136.8544994904043
41.259765625,-60.36473199098042,172.5609516935924
41.50390625,-63.52728413039577,13.68428598341118
41.748046875,-67.36174262928861,171.5631661750868
41.9921875,-70.96153679816199,92.89434689037256
42.236328125,-66.78073643675469,50.04491394953333
42.48046875,-65.156197049589,69.62673786431671
42.724609375,-64.62458649573647,98.90813270951557
42.96875,-66.48292979866638,122.6736090493556
43.212890625,-65.25657517661021,129.4908583037655
43.45703125,-61.60951137764674,136.323448433456
43.701171875,-58.6220787680385,149.2095016363839
43.9453125,-56.53898849013822,147.0459259516157
44.189453125,-55.61753026560033,139.8666669344803
44.43359375,-55.51186700947274,140.3553285742062
44.677734375,-56.64849589870477,131.805326763381
44.921875,-57.91403446475408,89.31359968368254
45.166015625,-54.95731499238912,53.53798734987085
45.41015625,-53.60736245751083,46.18564768744417
45.654296875,-53.98289319740239,44.01635909685378
45.8984375,-54.93399816421252,38.85695700500369
46.142578125,-58.508519822358,36.25412865429498
46.38671875,-66.64905929457915,30.40922332089022
46.630859375,-69.67189943311338,172.6105185789505
46.875,-67.96198356218143,152.7610447004475
47.119140625,-73.16560905780848,167.3251302801873
47.36328125,-72.31209551872442,74.5782462400815
47.607421875,-66.04028418539602,115.947184753741
47.8515625,-61.05179959466662,123.3648657195537
48.095703125,-59.23217065140251,126.0163927355088
48.33984375,-59.91836796662268,127.762386150181
48.583984375,-62.78791657787097,101.3222358215122
48.828125,-62.1166857226584,68.73789977771362
49.072265625,-61.23349432970684,68.59531225410295
49.31640625,-62.849263886399,71.42076722727948
49.560546875,-66.12982357957944,88.05928114203458
49.8046875,-65.66382142858956,128.7729848088812
50.048828125,-66.28910444090592,178.4790883727499
50.29296875,-62.73247381563677,56.41033371179182
50.537109375,-58.38964402974453,71.92465174140631
50.78125,-55.68194808239276,78.92183767252753
51.025390625,-54.4730074109793,81.47191226397908
51.26953125,-54.92549985470514,78.68545331943103
51.513671875,-57.62474770193583,77.12654706924853
51.7578125,-63.34488807456755,69.99392846589524
52.001953125,-69.72737891273891,39.2228506703491
52.24609375,-73.06156308735109,54.72214438819105
52.490234375,-69.40977148181672,88.12111445697447
52.734375,-65.04482301007492,74.24512130841926
52.978515625,-60.78542798609626,60.32273327923599
53.22265625,-59.73449550476096,42.37141455766284
53.466796875,-59.56056035747405,10.31759956325374
53.7109375,-57.80148319051651,163.7967774162998
53.955078125,-56.746560702416,146.0366067483527
54.19921875,-57.55711861156313,132.3913848645143
54.443359375,-59.9407603018027,118.1084731504272
54.6875,-62.68278372565865,104.1292962492348
54.931640625,-68.55937862785075,98.13687685814865
55.17578125,-88.36455192872153,167.7508668088319
55.419921875,-72.23782696409945,100.6411208830953
55.6640625,-65.5114515811515,124.6562174314912
55.908203125,-61.48719775297203,131.7489453366773
56.15234375,-58.68779020934564,133.3541783902355
56.396484375,-58.74791290225444,138.0800909944105
56.640625,-62.27657782232392,136.8444801091487
56.884765625,-65.99878447758296,106.7407318763946
57.12890625,-66.85625879399907,88.27269430261158
57.373046875,-65.86871866095383,87.46163533763973
57.6171875,-62.77075575024168,81.25522219100279
57.861328125,-61.66633670430522,100.8027915081231
58.10546875,-60.29983057204836,146.4670605934138
58.349609375,-57.74290519540506,176.613418975625
58.59375,-55.70640377792432,15.94934603925917
58.837890625,-55.06448541667409,27.23897520604255
59.08203125,-56.60171672058003,12.11543837143103
59.326171875,-56.61195644189987,11.03431900583719
59.5703125,-62.16004119696643,72.09659632741892
59.814453125,-48.94773341653396,19.42950074655898
60.05859375,-40.98623511162217,17.55771278964475
60.302734375,-38.20250772847841,13.05688206675282
60.546875,-37.7681326383279,19.51966069901008
60.791015625,-38.94140214947556,18.14439433727423
61.03515625,-43.1398229794576,9.860377745799909
61.279296875,-53.6636001095674,8.595453200044025
61.5234375,-61.21163013973536,117.6764433306726
61.767578125,-56.82347307199836,121.2653053404226
62.01171875,-57.10244646261241,120.6332835284766
62.255859375,-55.35726660803371,108.4767779421237
62.5,-53.88391818225892,108.2780395999785
62.744140625,-53.80424438694553,111.8399489035124
62.98828125,-54.70299878567509,105.7557111396381
63.232421875,-55.46038081599556,82.42451451139672
63.4765625,-55.04096546510151,64.07444035845094
63.720703125,-55.66289544301783,63.48645261156053
63.96484375,-58.34100998450482,59.2737186648418
64.208984375,-67.1995996915071,31.72829394928095
64.453125,-62.68865299079849,36.63003619174602
64.697265625,-54.70348058534999,32.35216411150507
64.94140625,-52.76152888787501,39.63095845280458
65.185546875,-53.15188350405938,38.17375141897821
65.4296875,-54.42570707137088,27.91410404848902
65.673828125,-55.53254799246956,21.00337387657153
65.91796875,-56.22996322180107,11.009755454088
66.162109375,-55.5742009244431,165.3664621372113
66.40625,-54.40960733734983,150.5439702300281
66.650390625,-56.57835848866019,147.0004010089146
66.89453125,-60.84554627863518,122.6625429192493
67.138671875,-62.46376798145584,74.95278680900395
67.3828125,-62.22543671998026,27.95495447556461
67.626953125,-60.79535546420268,7.792099374622171
67.87109375,-61.26060600917351,18.21132791367176
68.115234375,-61.52452378290201,57.46565706134062
68.359375,-61.41333412599817,98.20462902346569
68.603515625,-64.6800505613825,153.4889355010453
68.84765625,-62.33874397502987,39.39635416703965
69.091796875,-59.67159657700907,57.42941609045025
69.3359375,-58.26078340624959,73.94318103648241
69.580078125,-57.95506434034958,93.61105496568251
69.82421875,-60.83786147989652,107.3616351695489
70.068359375,-63.62901234375662,105.0300968385913
70.3125,-60.64371312253462,108.8683643445304
70.556640625,-56.95218374531099,130.1000898532829
70.80078125,-55.93533115916898,148.4660719810483
71.044921875,-57.4894801473243,152.0225479898329
71.2890625,-60.19064943141945,124.9746236660118
71.533203125,-61.44304563649772,67.8958256731445
71.77734375,-57.5000357123587,33.04469919366139
72.021484375,-55.13034224932728,23.59028339037295
72.265625,-56.48332076000972,20.79689643765501
72.509765625,-61.39462224120529,42.7307197501724
72.75390625,-64.11073717158025,76.43691401778881
72.998046875,-63.82349920159471,104.1860936869942
73.2421875,-59.60151494708764,120.0771448332739
73.486328125,-59.2284312143982,127.0558098329848
73.73046875,-62.88780252751237,131.3412826491713
73.974609375,-64.76099591931393,92.71396263404611
74.21875,-58.99898448087775,76.96358171070342
74.462890625,-53.34265852186375,79.18791602525906
74.70703125,-50.38964350550825,78.09616759511282
74.951171875,-50.10528812919606,78.39143667448788
75.1953125,-51.01641278022878,75.28388558836143
75.439453125,-54.90360562615183,60.59076500073687
75.68359375,-60.58087221604113,17.49120078461729
75.927734375,-60.69831308052208,176.8481608634167
76.171875,-61.95844288230697,7.14071426307201
76.416015625,-66.27722002648517,26.2340329044544
76.66015625,-76.12083741757901,64.29075778069877
76.904296875,-77.5157900571544,153.4397645896969
77.1484375,-73.7720467876678,115.7517391553196
77.392578125,-67.85481647934309,117.1523524596971
77.63671875,-64.46012158819518,121.0663576087205
77.880859375,-62.63609457341255,108.8429355200329
78.125,-61.49991073514411,105.1641930017147
78.369140625,-61.29479865191076,95.73921286635243
78.61328125,-59.18577006964001,73.85542973717375
78.857421875,-56.60603142915594,65.31972103643412
79.1015625,-56.19705262244238,68.34236290311777
79.345703125,-58.16488715082511,77.75332254162089
79.58984375,-63.15274106009735,85.74645624058637
79.833984375,-72.26636920161364,44.41088625556534
80.078125,-64.7148099736698,177.1701466150521
80.322265625,-59.31217875245743,1.830178549754424
80.56640625,-56.59356841856962,8.132279242705819
80.810546875,-56.10151241933154,19.72126626481443
81.0546875,-57.70550775383387,34.88609032233103
81.298828125,-60.75948908762604,44.94338693862316
81.54296875,-63.71831455121388,50.52685584248992
81.787109375,-64.96007612200441,68.0077576128314
82.03125,-66.38667075065683,66.06085435934644
82.275390625,-69.95637467189674,46.81016925702923
82.51953125,-72.53885174486931,57.04155764330908
82.763671875,-73.34826220834229,51.56999780253393
83.0078125,-74.5224663623588,60.93250945340446
83.251953125,-70.23893300522701,70.12617929799215
83.49609375,-70.39611427852347,53.52548247936345
83.740234375,-74.51558280656214,33.04179864425876
83.984375,-70.86634658269725,152.0792032528308
84.228515625,-65.3036444767878,126.6274807694288
84.47265625,-64.30944765889384,123.1337840317275
84.716796875,-62.65487162450798,120.9599588969104
84.9609375,-63.00645397593282,110.2277041638894
85.205078125,-69.48728451523624,120.6208862734244
