#Frequency (Hz),Trace 1 (dBV),Phase (deg),Trace 2 (dBV),Phase (deg)
0,-45.62405890208542,180,-46.59439946379081,180
0.244140625,-45.89653804268649,179.7406390046936,-46.94260701988427,179.9854397250876
0.48828125,-49.3343028774305,0.1701404386802776,-50.38596049240992,0.6584522861568413
0.732421875,-59.65077403706484,2.232473338514934,-60.16974217220885,4.238359536006636
0.9765625,-79.28045807213888,6.323178499667645,-76.0882813767239,31.83220943272048
1.220703125,-77.40001784365455,118.6189051235156,-85.06333955225401,50.30504028749354
1.46484375,-67.79310096615046,90.05083984584327,-81.68895592991237,102.3924202570523
1.708984375,-64.49507697427612,77.14250177927362,-75.11471582016949,98.18289369776835
1.953125,-65.49777418703626,70.35255159183619,-74.24697396295906,113.157608478058
2.197265625,-68.38161747559371,58.79353876531044,-74.82521380588433,126.8054104347041
2.44140625,-73.55508801280831,26.93579826054035,-79.40411098442327,141.5713274829909
2.685546875,-84.31237116595707,167.6171911455615,-85.40733487490202,157.7832784238383
2.9296875,-76.65517347082155,89.8177969051435,-88.47345656469038,18.8616621781892
3.173828125,-67.87696483808217,79.49980884116579,-76.49481149147918,169.8757305738567
3.41796875,-65.70998807107665,73.58506225813338,-74.69809744795661,138.5120996926675
3.662109375,-65.91925042205264,51.81148157692672,-71.34148256794292,111.7924365776925
3.90625,-66.04879713267637,15.86726640001658,-68.6600804209545,99.51605136819073
4.150390625,-66.9526536047116,160.081895370147,-67.02673565408969,76.6292934579506
4.39453125,-69.8042929272716,145.1544729027337,-67.71387644871045,57.55045334801071
4.638671875,-78.10096226785143,73.43658831515421,-71.5306030222558,24.92667621859829
4.8828125,-63.79301718825709,106.6855674949009,-71.25465243300836,148.5568994278285
5.126953125,-59.41654484614237,96.6105236091872,-67.85789852306917,104.7415605660023
5.37109375,-57.63813486294298,78.67910721569569,-64.49423720577872,73.88525502919285
5.615234375,-56.55186550628328,61.0186865296813,-62.78568624908139,61.55852188653837
5.859375,-56.33000208086332,45.70395030082469,-62.88502682847587,58.27895423161828
6.103515625,-57.0145363731113,36.58281465866206,-64.13281886347293,54.28231580744892
6.34765625,-59.1346292442467,39.42272962772579,-66.51506651685534,60.28327691775361
